
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#FIXES
#----------------------------------------------------

fix 		fxnvt all nvt temp 300.0 300.0 100.0
fix 		fxmom all momentum 1 linear 1 1 1 angular

#----------------------------------------------------
#EQUILIBRATION RUN
#----------------------------------------------------

run 		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4 -> bins = 6 6 2
Memory usage per processor = 6.24631 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
       0          300   -30694.185     160.0695   -30534.116 -2.2026825e-13 -3.907985e-14 
    1000    287.18105   -30543.282    153.22976   -30390.052 5.6843419e-14 9.9475983e-14 
    2000    269.79433   -30521.373    143.95281    -30377.42 -6.3948846e-14 1.0658141e-14 
    3000    256.48902   -30529.649    136.85356   -30392.796 -3.2684966e-13 1.2434498e-14 
    4000    296.43688   -30547.178    158.16835   -30389.009 1.1368684e-13 5.6843419e-14 
    5000    314.54417   -30537.617    167.82976   -30369.787 -8.5265128e-14 1.4210855e-14 
    6000    284.84863   -30547.984    151.98526   -30395.999 1.7763568e-13 1.4210855e-14 
    7000    300.90855   -30530.242    160.55427   -30369.688 1.1368684e-13 1.6342483e-13 
    8000    299.10141   -30561.153    159.59004   -30401.563 1.2079227e-13 4.2632564e-14 
    9000     282.4202   -30518.398    150.68953   -30367.709 7.1054274e-14            0 
   10000    290.58582   -30539.914    155.04642   -30384.868 1.2789769e-13 4.2632564e-14 
   11000    320.90067   -30536.178    171.22137   -30364.957            0 -5.6843419e-14 
   12000    295.72458   -30538.557    157.78828   -30380.769 7.8159701e-14 9.2370556e-14 
   13000    287.24215   -30536.046    153.26236   -30382.783 -1.563194e-13 1.7053026e-13 
   14000    302.14867   -30528.539    161.21595   -30367.323 5.6843419e-14            0 
   15000    266.47489   -30534.828    142.18167   -30392.646 -6.3948846e-14 4.2632564e-14 
   16000    307.18927   -30540.064    163.90544   -30376.159 -1.2079227e-13 1.4210855e-13 
   17000    310.43062   -30528.327    165.63492   -30362.692 2.4158453e-13 4.2632564e-14 
   18000    289.64201   -30537.215    154.54284   -30382.672 2.8421709e-14 -7.1054274e-14 
   19000    300.27399   -30535.358    160.21569   -30375.143 -6.750156e-14 5.6843419e-14 
   20000     338.7063   -30536.439    180.72183   -30355.718 -1.7053026e-13 -1.2079227e-13 
   21000    300.57348    -30543.05    160.37549   -30382.675 -8.5265128e-14 1.4210855e-14 
   22000    323.89198   -30537.916    172.81742   -30365.099 -2.5579538e-13 -4.2632564e-14 
   23000    292.48096   -30534.752     156.0576   -30378.695 -1.7053026e-13 -2.8421709e-14 
   24000     305.3343   -30523.995     162.9157    -30361.08 9.9475983e-14 5.6843419e-14 
   25000    306.53486   -30541.545    163.55627   -30377.989 -5.6843419e-14 1.4210855e-13 
   26000    287.33472   -30546.114    153.31175   -30392.802 7.1054274e-15 1.1723955e-13 
   27000    290.60465   -30535.231    155.05647   -30380.175 -2.344791e-13 -8.1712415e-14 
   28000    317.46133   -30527.365    169.38625   -30357.979 -2.8421709e-14 -5.6843419e-14 
   29000    316.06141   -30536.409    168.63931    -30367.77 -8.5265128e-14 -1.4210855e-14 
   30000    288.91184   -30537.094    154.15324    -30382.94 -1.2789769e-13 1.8474111e-13 
   31000    279.94679   -30507.672    149.36981   -30358.302 1.9895197e-13 9.9475983e-14 
   32000    320.79452   -30527.231    171.16473   -30356.067 -8.5265128e-14 -1.7053026e-13 
   33000    293.65234    -30546.33    156.68261   -30389.648 -1.1368684e-13 -1.4210855e-14 
   34000    289.02385   -30546.555    154.21301   -30392.342 2.8421709e-14 -8.5265128e-14 
   35000    290.13141   -30531.182    154.80396   -30376.379 1.9895197e-13 -5.6843419e-14 
   36000    289.98122   -30550.721    154.72383   -30395.997 -1.4210855e-13 2.8421709e-14 
   37000    307.51866   -30536.056    164.08119   -30371.975 1.7053026e-13 -1.3500312e-13 
   38000     309.9875   -30524.998    165.39848   -30359.599 7.1054274e-14 5.6843419e-14 
   39000    290.68779   -30532.603    155.10083   -30377.502 8.5265128e-14            0 
   40000    295.77338     -30534.7    157.81433   -30376.886 -1.4210855e-13 -4.0856207e-14 
   41000    318.00586   -30523.118    169.67679   -30353.441 -4.2632564e-14 1.1368684e-13 
   42000    286.06849   -30533.439    152.63613   -30380.803 8.5265128e-14            0 
   43000    305.25871   -30534.893    162.87537   -30372.018 1.4210855e-14 -2.2026825e-13 
   44000    289.30325   -30554.194    154.36209   -30399.832 8.5265128e-14 2.4868996e-13 
   45000    297.20367   -30528.585    158.57747   -30370.007            0 -2.7000624e-13 
   46000    293.37204   -30535.114    156.53305   -30378.581 -5.6843419e-14 -2.8421709e-14 
   47000    300.72884   -30540.568    160.45839    -30380.11 -5.6843419e-14 -1.1368684e-13 
   48000    302.29438   -30531.823     161.2937    -30370.53 -8.5265128e-14 -5.6843419e-14 
   49000    311.83967   -30533.311    166.38673   -30366.925 1.0658141e-13 -1.4210855e-14 
   50000    265.10941   -30527.247     141.4531   -30385.794 5.6843419e-14 -5.6843419e-14 
   51000    296.33698   -30536.686    158.11504   -30378.571 1.7053026e-13 1.4210855e-13 
   52000    308.41162   -30540.595    164.55765   -30376.037 1.6342483e-13 -1.563194e-13 
   53000    289.92598   -30544.223    154.69435   -30389.529 7.1054274e-15 -1.7053026e-13 
   54000    297.19269   -30537.118    158.57162   -30378.546 9.9475983e-14 2.3803182e-13 
   55000    322.52113   -30535.029    172.08598   -30362.943 1.563194e-13 1.1368684e-13 
   56000    289.93132    -30549.18     154.6972   -30394.483 -1.7053026e-13 -1.4210855e-13 
   57000    304.57822   -30535.848    162.51228   -30373.336 2.8421709e-14 1.2079227e-13 
   58000    297.91162   -30537.158    158.95521   -30378.202 -1.0658141e-13 7.1054274e-14 
   59000    285.09999   -30531.689    152.11937    -30379.57 2.4158453e-13 5.6843419e-14 
   60000     270.6874   -30532.447    144.42932   -30388.018 -1.563194e-13 -8.5265128e-14 
   61000    310.56812   -30557.412    165.70828   -30391.703 -5.6843419e-14 -3.5527137e-14 
   62000    304.59929   -30533.227    162.52352   -30370.704 9.9475983e-14 -4.9737992e-14 
   63000    307.85013    -30568.11    164.25805   -30403.852 4.2632564e-14 -2.1316282e-13 
   64000    307.78635   -30549.338    164.22402   -30385.114 -2.2737368e-13 1.4210855e-14 
   65000    295.03113   -30544.102    157.41828   -30386.684 -1.4210855e-14 1.4210855e-14 
   66000    296.79604   -30538.892    158.35998   -30380.532            0 -4.2632564e-14 
   67000    307.06829   -30525.984    163.84089   -30362.143 -8.5265128e-14 -5.6843419e-14 
   68000    312.09539   -30524.204    166.52318    -30357.68 -9.2370556e-14 -2.2737368e-13 
   69000    296.51109    -30548.13    158.20794   -30389.922 -1.4210855e-13 -1.2789769e-13 
   70000    291.24691   -30550.388    155.39916   -30394.989 4.9737992e-14 1.4566126e-13 
   71000    286.03631   -30529.206    152.61897   -30376.587 -1.1368684e-13 -1.4210855e-14 
   72000    322.46028   -30543.202    172.05352   -30371.149 8.5265128e-14 5.6843419e-14 
   73000    297.68328   -30541.602    158.83338   -30382.769 8.1712415e-14 2.8421709e-14 
   74000    279.18566   -30542.107     148.9637   -30393.144 2.8421709e-14 -1.1368684e-13 
   75000    297.33128   -30542.912    158.64557   -30384.267 1.1368684e-13 -4.2632564e-14 
   76000    311.48577   -30524.258    166.19791    -30358.06 -1.7053026e-13 2.8421709e-14 
   77000    307.41168    -30529.25    164.02411   -30365.225 -8.5265128e-14 -7.1054274e-14 
   78000    273.26677   -30546.067    145.80559   -30400.261 -2.1316282e-14 -1.4210855e-14 
   79000    312.04427   -30532.551     166.4959   -30366.055 -9.9475983e-14 -2.1316282e-14 
   80000    293.09454   -30546.608    156.38499   -30390.223 1.0658141e-13 -9.9475983e-14 
   81000    290.95764   -30523.753    155.24481   -30368.508 -7.1054274e-14 1.4210855e-14 
