
#----------------------------------------------------
#TIMESTEP
#----------------------------------------------------

timestep	1

#----------------------------------------------------
#NPT RUN
#----------------------------------------------------

fix		fxnpt all npt temp 300 300 100 iso 1.0 1.0 1000.0

run		1000000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.1
  ghost atom cutoff = 4.1
  binsize = 2.05 -> bins = 50 50 5
Memory usage per processor = 5.34324 Mbytes
Step Temp PotEng KinEng TotEng v_Fx v_Fy 
       0          300   -28878.866    3518.8463   -25360.019 5.0670579e-13 8.9928065e-15 
    1000    305.00047   -24749.308    3577.4992   -21171.809 1.7053026e-13 1.0658141e-14 
    2000    299.35101   -24856.297    3511.2339   -21345.063 1.0658141e-14 2.2382096e-13 
    3000     298.2047   -24783.983    3497.7883   -21286.195 4.156675e-13 2.9842795e-13 
    4000    301.22446   -24663.571    3533.2085   -21130.363 -8.5265128e-14 1.1013412e-13 
    5000    297.75662   -24767.844    3492.5325   -21275.311 1.4210855e-14 1.8651747e-13 
    6000    302.25011   -24806.049    3545.2389    -21260.81 1.1368684e-13 -1.4210855e-14 
    7000    304.20361   -24699.467    3568.1524   -21131.314 -1.8474111e-13 1.3855583e-13 
    8000     295.2161   -24779.974    3462.7335   -21317.241 -1.6164847e-13 1.1901591e-13 
    9000    301.18961   -24638.041    3532.7997   -21105.242 3.126388e-13 2.9842795e-13 
   10000    295.68926   -24727.206    3468.2835   -21258.922 -6.6791017e-13 -3.0553338e-13 
   11000    298.85844   -24742.026    3505.4563    -21236.57 -1.1368684e-13 -2.8421709e-14 
   12000    299.83823   -24700.336    3516.9488   -21183.387 -7.1054274e-14 2.8421709e-14 
   13000     295.8219   -24710.991    3469.8393   -21241.151 -2.1316282e-13 1.3145041e-13 
   14000    299.02475    -24681.06    3507.4071   -21173.653 -4.9737992e-14 -5.4711791e-13 
   15000    298.45327   -24602.375    3500.7039   -21101.671 1.2789769e-13 -1.3500312e-13 
   16000    297.27257   -24684.244    3486.8549   -21197.389 -2.5579538e-13 -9.9475983e-14 
   17000    306.47743   -24641.486    3594.8232   -21046.663 -2.1316282e-13 2.8066438e-13 
   18000    297.16303   -24671.496    3485.5701   -21185.926 3.907985e-13 1.6342483e-13 
   19000    302.76474   -24531.521    3551.2752   -20980.246 1.7053026e-13 -6.0751404e-13 
